movieId,title,Drama,Musical,IMAX,Romance,Children,Mystery,Horror,Animation,War,Action,Sci-Fi,Western,Thriller,Comedy,Fantasy,Documentary,Adventure,Crime,(no genres listed),Film-Noir
77,White Squall (1996),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
78,Dunston Checks In (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,Black Sheep (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,Nick of Time (1995),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
81,Mary Reilly (1996),1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
82,Vampire in Brooklyn (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
83,Beautiful Girls (1996),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,Broken Arrow (1996),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
85,In the Bleak Midwinter (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,"Hate (Haine, La) (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,Heidi Fleiss: Hollywood Madam (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,City Hall (1996),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,Bottle Rocket (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
90,Mr. Wrong (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,Unforgettable (1996),0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
92,Happy Gilmore (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,"Bridges of Madison County, The (1995)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Nobody Loves Me (Keiner liebt mich) (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,Muppet Treasure Island (1996),0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
96,Catwalk (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,Braveheart (1995),1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
98,Taxi Driver (1976),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
99,Rumble in the Bronx (Hont faan kui) (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
100,Before and After (1996),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Anne Frank Remembered (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,"Young Poisoner's Handbook, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,If Lucy Fell (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,"Steal Big, Steal Little (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,"Boys of St. Vincent, The (1992)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Boomerang (1992),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,Chungking Express (Chung Hing sam lam) (1994),1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Flirting With Disaster (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,"NeverEnding Story III, The (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
110,Jupiter's Wife (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,Pie in the Sky (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,Jade (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,Down Periscope (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,Man of the Year (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,Up Close and Personal (1996),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"Birdcage, The (1996)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,"Brothers McMullen, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,Bad Boys (1995),1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
119,"Amazing Panda Adventure, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,"Basketball Diaries, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,"Awfully Big Adventure, An (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Amateur (1994),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
123,Apollo 13 (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,Rob Roy (1995),1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
125,"Addiction, The (1995)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Batman Forever (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
127,Beauty of the Day (Belle de jour) (1967),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Beyond Rangoon (1995),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
129,Blue in the Face (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,Canadian Bacon (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
131,Casper (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,Clockers (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,Congo (1995),0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
134,Crimson Tide (1995),1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
135,Crumb (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,Desperado (1995),0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
137,Devil in a Blue Dress (1995),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
138,Die Hard: With a Vengeance (1995),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
139,"Doom Generation, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
140,First Knight (1995),1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,Free Willy 2: The Adventure Home (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,Hackers (1995),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
143,Jeffrey (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
144,Johnny Mnemonic (1995),0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
145,Judge Dredd (1995),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
146,Jury Duty (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
147,Kids (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Living in Oblivion (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,Lord of Illusions (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Love & Human Remains (1993),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,Mad Love (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Mallrats (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
153,Mighty Morphin Power Rangers: The Movie (1995),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
154,Mute Witness (1994),0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
155,Nadja (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"Net, The (1995)",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
157,Nine Months (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158,Party Girl (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,"Prophecy, The (1995)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
160,Reckless (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
161,Safe (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,"Scarlet Letter, The (1995)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Showgirls (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Smoke (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,Something to Talk About (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,Species (1995),0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
167,Strange Days (1995),1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
168,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Three Wishes (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,Total Eclipse (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,Under Siege 2: Dark Territory (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,Unstrung Heroes (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,Unzipped (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,"Walk in the Clouds, A (1995)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Waterworld (1995),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
177,White Man's Burden (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Wild Bill (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
179,"Browning Version, The (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Bushwhacked (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
181,Burnt by the Sun (Utomlyonnye solntsem) (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Before the Rain (Pred dozhdot) (1994),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,Before Sunrise (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Billy Madison (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,"Babysitter, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
186,Boys on the Side (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
187,"Cure, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Castle Freak (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Circle of Friends (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Clerks (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Don Juan DeMarco (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,Disclosure (1994),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
193,Drop Zone (1994),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
194,Destiny Turns on the Radio (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
195,Death and the Maiden (1994),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
196,Dolores Claiborne (1995),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,Dumb & Dumber (Dumb and Dumber) (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
198,Eat Drink Man Woman (Yin shi nan nu) (1994),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
199,Exotica (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Exit to Eden (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201,Ed Wood (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
202,French Kiss (1995),0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
203,Forget Paris (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
204,Far From Home: The Adventures of Yellow Dog (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
205,"Goofy Movie, A (1995)",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
206,Hideaway (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
207,Fluke (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Farinelli: il castrato (1994),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Gordy (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
210,Hoop Dreams (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
211,Heavenly Creatures (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
212,Houseguest (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
213,Immortal Beloved (1994),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Heavyweights (Heavy Weights) (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
215,"Hunted, The (1995)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
216,I.Q. (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
217,Interview with the Vampire: The Vampire Chronicles (1994),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Jefferson in Paris (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,"Jerky Boys, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
220,Junior (1994),0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
221,Just Cause (1995),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
222,"Kid in King Arthur's Court, A (1995)",0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
223,Kiss of Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
224,Star Wars: Episode IV - A New Hope (1977),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
225,Little Women (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,"Little Princess, A (1995)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Ladybird Ladybird (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Like Water for Chocolate (Como agua para chocolate) (1992),1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
229,Legends of the Fall (1994),1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
230,Major Payne (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
231,My Crazy Life (Mi vida loca) (1993),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Love Affair (1994),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Losing Isaiah (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"Madness of King George, The (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
235,Mary Shelley's Frankenstein (Frankenstein) (1994),1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
236,Man of the House (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
237,Mixed Nuts (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238,Milk Money (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
239,Miracle on 34th Street (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Miami Rhapsody (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
241,My Family (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Murder in the First (1995),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
243,Nobody's Fool (1994),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
244,Nell (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,New Jersey Drive (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
246,New York Cop (Nyû Yôku no koppu) (1993),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
247,Beyond Bedlam (1993),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Nina Takes a Lover (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
249,Natural Born Killers (1994),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
250,Only You (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
